model,temp,top_p,question_id,total_seeds,correct_count,wrong_count,accuracy,avg_len_correct,avg_len_wrong,avg_len_all
Qwen-Qwen3-1.7B,0.0,0.7,0,16,6,10,0.375,7544.5,21983.5,16568.88
Qwen-Qwen3-1.7B,0.0,0.7,1,16,15,1,0.9375,15671.4,22561.0,16102.0
Qwen-Qwen3-1.7B,0.0,0.7,2,16,0,16,0.0,0.0,19590.31,19590.31
Qwen-Qwen3-1.7B,0.0,0.7,3,16,0,16,0.0,0.0,10637.44,10637.44
Qwen-Qwen3-1.7B,0.0,0.7,4,16,7,9,0.4375,12332.86,13756.33,13133.56
Qwen-Qwen3-1.7B,0.0,0.7,5,16,16,0,1.0,10646.25,0.0,10646.25
Qwen-Qwen3-1.7B,0.0,0.7,6,16,4,12,0.25,21782.5,24505.83,23825.0
Qwen-Qwen3-1.7B,0.0,0.7,7,16,16,0,1.0,4361.88,0.0,4361.88
Qwen-Qwen3-1.7B,0.0,0.7,8,16,16,0,1.0,6230.38,0.0,6230.38
Qwen-Qwen3-1.7B,0.0,0.7,9,16,0,16,0.0,0.0,18466.38,18466.38
Qwen-Qwen3-1.7B,0.0,0.7,10,16,16,0,1.0,3385.31,0.0,3385.31
Qwen-Qwen3-1.7B,0.0,0.7,11,16,0,16,0.0,0.0,16416.19,16416.19
Qwen-Qwen3-1.7B,0.0,0.7,12,16,0,16,0.0,0.0,6750.5,6750.5
Qwen-Qwen3-1.7B,0.0,0.7,13,16,0,16,0.0,0.0,16120.38,16120.38
Qwen-Qwen3-1.7B,0.0,0.7,14,16,3,13,0.1875,21736.67,21385.0,21450.94
Qwen-Qwen3-1.7B,0.0,0.7,15,16,3,13,0.1875,14805.33,25687.15,23646.81
Qwen-Qwen3-1.7B,0.0,0.7,16,16,6,10,0.375,12518.33,15559.9,14419.31
Qwen-Qwen3-1.7B,0.0,0.7,17,16,0,16,0.0,0.0,13610.38,13610.38
Qwen-Qwen3-1.7B,0.0,0.7,18,16,4,12,0.25,12206.75,23147.58,20412.38
Qwen-Qwen3-1.7B,0.0,0.7,19,16,0,16,0.0,0.0,29820.12,29820.12
Qwen-Qwen3-1.7B,0.0,0.7,20,16,5,11,0.3125,17483.8,14853.82,15675.69
Qwen-Qwen3-1.7B,0.0,0.7,21,16,0,16,0.0,0.0,23900.25,23900.25
Qwen-Qwen3-1.7B,0.0,0.7,22,16,0,16,0.0,0.0,9231.25,9231.25
Qwen-Qwen3-1.7B,0.0,0.7,23,16,6,10,0.375,5625.0,5766.0,5713.12
Qwen-Qwen3-1.7B,0.0,0.7,24,16,16,0,1.0,7003.75,0.0,7003.75
Qwen-Qwen3-1.7B,0.0,0.7,25,16,15,1,0.9375,6756.0,21739.0,7692.44
Qwen-Qwen3-1.7B,0.0,0.7,26,16,16,0,1.0,11992.19,0.0,11992.19
Qwen-Qwen3-1.7B,0.0,0.7,27,16,16,0,1.0,3645.25,0.0,3645.25
Qwen-Qwen3-1.7B,0.0,0.7,28,16,0,16,0.0,0.0,19107.44,19107.44
Qwen-Qwen3-1.7B,0.0,0.7,29,16,5,11,0.3125,17206.2,26875.73,23854.0
Qwen-Qwen3-1.7B,0.0,0.8,0,16,16,0,1.0,8159.06,0.0,8159.06
Qwen-Qwen3-1.7B,0.0,0.8,1,16,1,15,0.0625,11052.0,16321.33,15992.0
Qwen-Qwen3-1.7B,0.0,0.8,2,16,0,16,0.0,0.0,25957.31,25957.31
Qwen-Qwen3-1.7B,0.0,0.8,3,16,1,15,0.0625,6620.0,33380.2,31707.69
Qwen-Qwen3-1.7B,0.0,0.8,4,16,0,16,0.0,0.0,31302.5,31302.5
Qwen-Qwen3-1.7B,0.0,0.8,5,16,16,0,1.0,8310.56,0.0,8310.56
Qwen-Qwen3-1.7B,0.0,0.8,6,16,1,15,0.0625,22050.0,31966.53,31346.75
Qwen-Qwen3-1.7B,0.0,0.8,7,16,16,0,1.0,4983.5,0.0,4983.5
Qwen-Qwen3-1.7B,0.0,0.8,8,16,1,15,0.0625,7096.0,4676.0,4827.25
Qwen-Qwen3-1.7B,0.0,0.8,9,16,0,16,0.0,0.0,13130.38,13130.38
Qwen-Qwen3-1.7B,0.0,0.8,10,16,16,0,1.0,4266.56,0.0,4266.56
Qwen-Qwen3-1.7B,0.0,0.8,11,16,0,16,0.0,0.0,14866.62,14866.62
Qwen-Qwen3-1.7B,0.0,0.8,12,16,0,16,0.0,0.0,6180.56,6180.56
Qwen-Qwen3-1.7B,0.0,0.8,13,16,0,16,0.0,0.0,15812.75,15812.75
Qwen-Qwen3-1.7B,0.0,0.8,14,16,2,14,0.125,10655.0,18633.86,17636.5
Qwen-Qwen3-1.7B,0.0,0.8,15,16,0,16,0.0,0.0,24667.25,24667.25
Qwen-Qwen3-1.7B,0.0,0.8,16,16,15,1,0.9375,21112.33,16021.0,20794.12
Qwen-Qwen3-1.7B,0.0,0.8,17,16,0,16,0.0,0.0,17232.62,17232.62
Qwen-Qwen3-1.7B,0.0,0.8,18,16,13,3,0.8125,21769.62,26133.33,22587.81
Qwen-Qwen3-1.7B,0.0,0.8,19,16,0,16,0.0,0.0,18676.44,18676.44
Qwen-Qwen3-1.7B,0.0,0.8,20,16,14,2,0.875,18663.79,25952.0,19574.81
Qwen-Qwen3-1.7B,0.0,0.8,21,16,0,16,0.0,0.0,22384.88,22384.88
Qwen-Qwen3-1.7B,0.0,0.8,22,16,14,2,0.875,6743.29,16902.5,8013.19
Qwen-Qwen3-1.7B,0.0,0.8,23,16,16,0,1.0,5952.06,0.0,5952.06
Qwen-Qwen3-1.7B,0.0,0.8,24,16,16,0,1.0,7396.56,0.0,7396.56
Qwen-Qwen3-1.7B,0.0,0.8,25,16,0,16,0.0,0.0,19905.19,19905.19
Qwen-Qwen3-1.7B,0.0,0.8,26,16,1,15,0.0625,20871.0,8817.2,9570.56
Qwen-Qwen3-1.7B,0.0,0.8,27,16,15,1,0.9375,4255.93,18271.0,5131.88
Qwen-Qwen3-1.7B,0.0,0.8,28,16,0,16,0.0,0.0,18130.69,18130.69
Qwen-Qwen3-1.7B,0.0,0.8,29,16,1,15,0.0625,12710.0,33868.2,32545.81
Qwen-Qwen3-1.7B,0.0,0.9,0,16,3,13,0.1875,19136.0,18823.23,18881.88
Qwen-Qwen3-1.7B,0.0,0.9,1,16,15,1,0.9375,16526.67,6410.0,15894.38
Qwen-Qwen3-1.7B,0.0,0.9,2,16,1,15,0.0625,11801.0,21500.47,20894.25
Qwen-Qwen3-1.7B,0.0,0.9,3,16,1,15,0.0625,5635.0,11945.2,11550.81
Qwen-Qwen3-1.7B,0.0,0.9,4,16,2,14,0.125,11947.0,22155.86,20879.75
Qwen-Qwen3-1.7B,0.0,0.9,5,16,16,0,1.0,14168.12,0.0,14168.12
Qwen-Qwen3-1.7B,0.0,0.9,6,16,0,16,0.0,0.0,27634.88,27634.88
Qwen-Qwen3-1.7B,0.0,0.9,7,16,16,0,1.0,7772.62,0.0,7772.62
Qwen-Qwen3-1.7B,0.0,0.9,8,16,16,0,1.0,5395.25,0.0,5395.25
Qwen-Qwen3-1.7B,0.0,0.9,9,16,0,16,0.0,0.0,23837.62,23837.62
Qwen-Qwen3-1.7B,0.0,0.9,10,16,16,0,1.0,4087.31,0.0,4087.31
